,,,,,,,,,,
Data Dictionary (Final_Data),,,,,,,,,,
Attribute,State,Year,Energy_type,Generation_MU,Capacity_MW,Potential_MW,Avg_Generation_MW,CUF,Potential_Capacity_Gap_MW,Generation_Potential_Utilization
Description,The name of the Indian state or territory where the energy data is recorded.,The calendar year of the recorded data.,"The specific source of renewable energy (e.g., Wind, Solar, Bio-Power).",Total electricity generated during the year in Million Units (MU).,The total installed power generation capacity in Mega Watts (MW).,The estimated maximum energy generation potential of the region in Mega Watts (MW).,"The average power generated, calculated from total generation.",Capacity Utilization Factor. The ratio of actual output to maximum possible output (Efficiency metric).,The difference between the estimated Potential and actual Installed Capacity ($Potential - Capacity$).,The percentage of the total potential that is currently being utilized.
Data Type,Text (String),Integer,Text (Categorical),Decimal (Float),Decimal (Float),Decimal (Float),Decimal (Float),Percentage / Decimal,Decimal (Float),Percentage
Example Value,Tamil Nadu,2020,Wind,"15,914.94","9,308.64","68,750.00","1,816.77",0.195 (19.5%),"59,441.36",2.64%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Log,,,,,,,,,,
Date,Affected Area (Sheet/Column),Action Taken,Reason,By Whom,,,,,,
2/13/2026,State,Applied TRIM to remove leading and trailing spaces,Prevented duplicate state names and ensured accurate grouping in Pivot Tables,Lakshya Bapna,,,,,,
2/13/2026,Types of Energy Sources,Applied TRIM to remove extra spaces,Ensured consistent energy source categories for correct aggregation,Lakshya Bapna,,,,,,
2/14/2026,Energy Value Type,Applied TRIM to remove extra spaces,"Ensured correct classification of Potential, Installed Capacity, and Generation",Lakshya Bapna,,,,,,
2/14/2026,"State, Types of Energy Sources, Energy Value Type",Applied PROPER function to standardize text case,Standardized category formatting to prevent duplicate values during grouping and filtering,Lakshya Bapna,,,,,,
2/14/2026,Financial Year,Extracted numeric Year using RIGHT function and converted to values,"Enabled proper sorting, time-series analysis, and year-wise trend visualization",Lakshya Bapna,,,,,,
2/14/2026,Types of Energy Sources,"Filtered and retained only renewable energy sources (Solar, Wind, Small Hydro, Biomass, Bagasse, Waste)",Ensured alignment with project objective and removed non-renewable and aggregate categories to avoid double counting,Lakshya Bapna,,,,,,
2/14/2026,Values for Renewable Electricity (MW),Replaced blank values with 0 and retained zero records,Blank values cause calculation errors; zero values represent actual conditions such as no capacity or generation,Lakshya Bapna,,,,,,
2/14/2026,"State, Year, Energy_Source, Energy_Value_Type, Value_MW",Removed duplicate records,Prevented double counting and ensured accurate totals for analysis and KPIs,Lakshya Bapna,,,,,,
2/14/2026,Data Types,Converted Year and Value_MW to numeric format,Ensured correct calculations and prevented formula errors,Lakshya Bapna,,,,,,
2/14/2026,Energy Value Type,Replaced “Capacity” with “Installed Capacity” and validated categories,Removed ambiguity and ensured accurate infrastructure analysis and pivot grouping,Lakshya Bapna,,,,,,
2/14/2026,Clean_Data → Pivot Table,"Created Pivot Table to restructure data into wide format (Potential_MW, Capacity_MW, Generation_MU)",Enabled direct comparison of metrics and supported KPI calculation,Lakshya Bapna,,,,,,
2/14/2026,Pivot Columns,"Standardized column names to Potential_MW, Capacity_MW, Generation_MU",Clarified units and ensured consistency for analysis,Lakshya Bapna,,,,,,
2/14/2026,Final_Data,Replaced blank pivot values with 0 using IF formula,Prevented errors in KPI calculations and ensured a clean analysis-ready dataset,Lakshya Bapna,,,,,,
2/14/2026,Generation_MU,Converted annual generation to Avg_Generation_MW,Enabled comparison with installed capacity for efficiency analysis (CUF),Lakshya Bapna,,,,,,
2/14/2026,Final_Data,"Calculated CUF, Potential–Capacity Gap, and Potential Utilization",Created performance indicators required for dashboard and decision analysis,Lakshya Bapna,,,,,,
2/15/2026,"Columns: Year, State",Filled missing (null) values downwards across the dataset.,"To fix hierarchical formatting issues where Year/State appeared once per block, ensuring accurate Pivot Table filtering.",Pushpendra Singh Parihar,,,,,,
2/15/2026,All Columns (Final_data sheet),Standardized column headers by correcting casing and formatting consistency.,To prevent case-sensitivity issues in SQL queries or formulas caused by non-uniform naming.,Pushpendra Singh Parihar,,,,,,
2/16/2026,State: West Bengal; Year: 2020,"Removed approximately 40,000+ blank rows found under West Bengal (2020).",Cleaned significant trash data that was inflating dataset size without providing value.,Pushpendra Singh Parihar,,,,,,
2/16/2026,"Sheets: Chart_data, Dashboard","Created Pivot Tables, Charts, and Slicers.",Established the core visualization layer to enable dynamic filtering by State and Energy Type.,Pushpendra Singh Parihar,,,,,,
2/16/2026,"Sheets: Chart_data, KPI_Summary, Dashboard","Developed KPI Scorecards: Total Potential, Installed Capacity, and Utilization %.","Provided an immediate, high-level summary of renewable energy performance for the dashboard.",Pushpendra Singh Parihar,,,,,,
2/16/2026,Pivot Table (Efficiency); Values,"Grouped Biomass/Bagasse variations into ""Bio-Power"" and replaced average CUF with dynamic Calculated Field.","Resolved data fragmentation where separated Capacity/Generation rows caused ""0%"" efficiency errors.",Pushpendra Singh Parihar,,,,,,
2/16/2026,Pivot Table (Growth Trends),Filtered out years 2006 and 2007 from trend analysis.,Removed discrepancies where generation was reported against 0.00 Capacity; analysis now starts from 2008 for consistency.,Pushpendra Singh Parihar,,,,,,
2/16/2026,Dashboard; Chart: Efficiency,"Converted ""Efficiency of Energy Source"" from Combo Chart to Bubble Chart.",Improved visualization to simultaneously compare Efficiency (Y-axis) and Scale/Capacity (Bubble Size).,Pushpendra Singh Parihar,,,,,,
2/17/2026,Sheet: Final_data; Col: Potential_MW,"Applied logic IF(Potential_MW < Capacity_MW, Potential_MW = Capacity_MW) and corrected small territory data.","Fixed ""Negative Gap"" errors where utilized potential mathematically exceeded available potential due to historical data gaps.",Pushpendra Singh Parihar,,,,,,
2/17/2026,Column: Energy_type,"Merged ""Biomass-Bagasse"" and ""Cogeneration-Bagasse"" into single ""Biomass"" category.","Fixed fragmentation where variations were treated as separate sources, ensuring accurate state-level summation.",Pushpendra Singh Parihar,,,,,,
2/17/2026,Chart_data,"Calculated overall KPIs including Total Potential, Total Installed Capacity, and Total Average Generation.",To create a centralized data source for dashboard summary values and high-level performance analysis.,Lakshya Bapna,,,,,,
2/17/2026,Chart_data,"Calculated Capacity Utilization (CUF), Potential Utilization, and Potential–Capacity Gap.","To evaluate infrastructure efficiency, resource utilization, and identify untapped renewable investment opportunities.",Lakshya Bapna,,,,,,
2/17/2026,Dashboard,Linked dashboard KPI cards dynamically to values from Chart_data.,Ensured automatic updates and maintained a clean separation between calculation data and visualization.,Lakshya Bapna,,,,,,
2/17/2026,Chart_data,"Prepared aggregated tables for state comparison, growth trends, energy source distribution, and gap analysis.",To support dashboard visualizations and enable efficient chart creation.,Lakshya Bapna,,,,,,
2/17/2026,Dashboard,Formatted KPI cards and finalized dashboard layout.,Improved readability and created a professional analytical interface,Lakshya Bapna,,,,,,